NAME,Prob,C,FACTOR,UNITS,DESC,SOURCE,SYM,DIST,PARM2(EF),CCF GROUP,LINK,EQUATION,NOTES,LOCATE,MTIME,TYPE,RATE,U,RATEDIST,RATEEF,STYLE,Support,ModelNotes,Template,SeedValue,Constituents,LoopMarker,Badges,SupportedBy,Attachments,TemplateName
X112,0.005982036,3,DEMAND,,Outlet valve fails closed,,B,,,,,,,,,B6-VLVE-MOV-FTO,,,,,,,,,,,,,,,
X112-MT,0.005982036,3,DEMAND,,Outlet valve fails closed,,B,,,,,,,,,B6-VLVE-MOV-FTO,,,,,,,,,,,,,,,
X113,0.2311043,3,IE-YEAR,,Pump #1 fails,,U,,,X113/115/117,,,,,,B3-PUMP-GENERAL-ALL,,,,,,,,,,,,,,,
X113/115/117_1_2,0.00295,,2.95E-03,,CCF of two components: X113 & X113-MT,,Y,,,,,,,,,,,,,,,,,,,"X113,X113-MT",,,,,
X113/115/117_1_3,0.00295,,2.95E-03,,CCF of two components: X113 & X115,,Y,,,,,,,,,,,,,,,,,,,"X113,X115",,,,,
X113/115/117_1_4,0.00295,,2.95E-03,,CCF of two components: X113 & X115-MT,,Y,,,,,,,,,,,,,,,,,,,"X113,X115-MT",,,,,
X113/115/117_1_5,0.00295,,2.95E-03,,CCF of two components: X113 & X117,,Y,,,,,,,,,,,,,,,,,,,"X113,X117",,,,,
X113/115/117_1_6,0.00295,,2.95E-03,,CCF of two components: X113 & X117-MT,,Y,,,,,,,,,,,,,,,,,,,"X113,X117-MT",,,,,
X113/115/117_2_3,0.00295,,2.95E-03,,CCF of two components: X113-MT & X115,,Y,,,,,,,,,,,,,,,,,,,"X113-MT,X115",,,,,
X113/115/117_2_4,0.00295,,2.95E-03,,CCF of two components: X113-MT & X115-MT,,Y,,,,,,,,,,,,,,,,,,,"X113-MT,X115-MT",,,,,
X113/115/117_2_5,0.00295,,2.95E-03,,CCF of two components: X113-MT & X117,,Y,,,,,,,,,,,,,,,,,,,"X113-MT,X117",,,,,
X113/115/117_2_6,0.00295,,2.95E-03,,CCF of two components: X113-MT & X117-MT,,Y,,,,,,,,,,,,,,,,,,,"X113-MT,X117-MT",,,,,
X113/115/117_3_4,0.00295,,2.95E-03,,CCF of two components: X115 & X115-MT,,Y,,,,,,,,,,,,,,,,,,,"X115,X115-MT",,,,,
X113/115/117_3_5,0.00295,,2.95E-03,,CCF of two components: X115 & X117,,Y,,,,,,,,,,,,,,,,,,,"X115,X117",,,,,
X113/115/117_3_6,0.00295,,2.95E-03,,CCF of two components: X115 & X117-MT,,Y,,,,,,,,,,,,,,,,,,,"X115,X117-MT",,,,,
X113/115/117_4_5,0.00295,,2.95E-03,,CCF of two components: X115-MT & X117,,Y,,,,,,,,,,,,,,,,,,,"X115-MT,X117",,,,,
X113/115/117_4_6,0.00295,,2.95E-03,,CCF of two components: X115-MT & X117-MT,,Y,,,,,,,,,,,,,,,,,,,"X115-MT,X117-MT",,,,,
X113/115/117_5_6,0.00295,,2.95E-03,,CCF of two components: X117 & X117-MT,,Y,,,,,,,,,,,,,,,,,,,"X117,X117-MT",,,,,
X113-MT,0.002157669,3,72H,,Pump #1 fails,,U,,,X113/115/117,,,,,,B3-PUMP-GENERAL-ALL,,,,,,,,,,,,,,,
X114,0.02251858,3,IE-YEAR,,Control valve fails,,U,,,X114/116/118,,,,,,B6-VLVE-MOD-FTO,,,,,,,,,,,,,,,
X114/116/118_1_2,9.191E-05,,9.191E-05,,CCF of two components: X114 & X114-MT,,Y,,,,,,,,,,,,,,,,,,,"X114,X114-MT",,,,,
X114/116/118_1_3,9.191E-05,,9.191E-05,,CCF of two components: X114 & X116,,Y,,,,,,,,,,,,,,,,,,,"X114,X116",,,,,
X114/116/118_1_4,9.191E-05,,9.191E-05,,CCF of two components: X114 & X116-MT,,Y,,,,,,,,,,,,,,,,,,,"X114,X116-MT",,,,,
X114/116/118_1_5,9.191E-05,,9.191E-05,,CCF of two components: X114 & X118,,Y,,,,,,,,,,,,,,,,,,,"X114,X118",,,,,
X114/116/118_1_6,9.191E-05,,9.191E-05,,CCF of two components: X114 & X118-MT,,Y,,,,,,,,,,,,,,,,,,,"X114,X118-MT",,,,,
X114/116/118_2_3,9.191E-05,,9.191E-05,,CCF of two components: X114-MT & X116,,Y,,,,,,,,,,,,,,,,,,,"X114-MT,X116",,,,,
X114/116/118_2_4,9.191E-05,,9.191E-05,,CCF of two components: X114-MT & X116-MT,,Y,,,,,,,,,,,,,,,,,,,"X114-MT,X116-MT",,,,,
X114/116/118_2_5,9.191E-05,,9.191E-05,,CCF of two components: X114-MT & X118,,Y,,,,,,,,,,,,,,,,,,,"X114-MT,X118",,,,,
X114/116/118_2_6,9.191E-05,,9.191E-05,,CCF of two components: X114-MT & X118-MT,,Y,,,,,,,,,,,,,,,,,,,"X114-MT,X118-MT",,,,,
X114/116/118_3_4,9.191E-05,,9.191E-05,,CCF of two components: X116 & X116-MT,,Y,,,,,,,,,,,,,,,,,,,"X116,X116-MT",,,,,
X114/116/118_3_5,9.191E-05,,9.191E-05,,CCF of two components: X116 & X118,,Y,,,,,,,,,,,,,,,,,,,"X116,X118",,,,,
X114/116/118_3_6,9.191E-05,,9.191E-05,,CCF of two components: X116 & X118-MT,,Y,,,,,,,,,,,,,,,,,,,"X116,X118-MT",,,,,
X114/116/118_4_5,9.191E-05,,9.191E-05,,CCF of two components: X116-MT & X118,,Y,,,,,,,,,,,,,,,,,,,"X116-MT,X118",,,,,
X114/116/118_4_6,9.191E-05,,9.191E-05,,CCF of two components: X116-MT & X118-MT,,Y,,,,,,,,,,,,,,,,,,,"X116-MT,X118-MT",,,,,
X114/116/118_5_6,9.191E-05,,9.191E-05,,CCF of two components: X118 & X118-MT,,Y,,,,,,,,,,,,,,,,,,,"X118,X118-MT",,,,,
X114-MT,0.0001871825,3,72H,,Control valve fails,,U,,,X114/116/118,,,,,,B6-VLVE-MOD-FTO,,,,,,,,,,,,,,,
X115,0.2311043,3,IE-YEAR,,Pump #2 fails,,U,,,X113/115/117,,,,,,B3-PUMP-GENERAL-ALL,,,,,,,,,,,,,,,
X115-MT,0.002157669,3,72H,,Pump #2 fails,,U,,,X113/115/117,,,,,,B3-PUMP-GENERAL-ALL,,,,,,,,,,,,,,,
X116,0.02251858,3,IE-YEAR,,Control valve fails,,U,,,X114/116/118,,,,,,B6-VLVE-MOD-FTO,,,,,,,,,,,,,,,
X116-MT,0.0001871825,3,72H,,Control valve fails,,U,,,X114/116/118,,,,,,B6-VLVE-MOD-FTO,,,,,,,,,,,,,,,
X117,0.2311043,3,IE-YEAR,,Pump #3 fails,,U,,,X113/115/117,,,,,,B3-PUMP-GENERAL-ALL,,,,,,,,,,,,,,,
X117-MT,0.002157669,3,72H,,Pump #3 fails,,U,,,X113/115/117,,,,,,B3-PUMP-GENERAL-ALL,,,,,,,,,,,,,,,
X118,0.02251858,3,IE-YEAR,,Control valve fails,,U,,,X114/116/118,,,,,,B6-VLVE-MOD-FTO,,,,,,,,,,,,,,,
X118-MT,0.0001871825,3,72H,,Control valve fails,,U,,,X114/116/118,,,,,,B6-VLVE-MOD-FTO,,,,,,,,,,,,,,,
X12-1,0.05120261,3,IE-YEAR,,Excessive condenser leakage,,U,,,,,,,,,B2-CONDENSER-TUBE-LEAK,,,,,,,,,,,,,,,
X12-2,0.05120261,3,IE-YEAR,,condenser - Tubes - leak,,U,,,,,,,,,B2-CONDENSER-TUBE-LEAK,,,,,,,,,,,,,,,
X12-MT1,0.0004319067,3,72H,,Excessive condenser leakage,,U,,,,,,,,,B2-CONDENSER-TUBE-LEAK,,,,,,,,,,,,,,,
X12-MT2,0.0004319067,3,72H,,condenser - Tubes - leak,,U,,,,,,,,,B2-CONDENSER-TUBE-LEAK,,,,,,,,,,,,,,,
X13-1,0.2311043,3,IE-YEAR,,Operating pump fails,,B,,,PUMP-FTR,,,,,,B3-PUMP-FW-FTO/H,,,,,,,,,,,,,,,
X13-2,0.2311043,3,IE-YEAR,,pumps - feedwater - fail to operate/frequency,,B,,,PUMP-FTR,,,,,,B3-PUMP-FW-FTO/H,,,,,,,,,,,,,,,
X13-MT1,0.002157669,3,72H,,Operating pump fails,,B,,,PUMP-FTR,,,,,,B3-PUMP-FW-FTO/H,,,,,,,,,,,,,,,
X13-MT2,0.002157669,3,72H,,pumps - feedwater - fail to operate/frequency,,B,,,PUMP-FTR,,,,,,B3-PUMP-FW-FTO/H,,,,,,,,,,,,,,,
X141,0.008721743,3,IE-YEAR,,Panel breaker fails open,,U,,,X141/143/145/147,,,,,,B15-BRKR-GENERAL-SOP,,,,,,,,,,,,,,,
X141/143/145/147_1_2,0.0001384,,1.384E-04,,CCF of two components: X141 & X141-MT,,Y,,,,,,,,,,,,,,,,,,,"X141,X141-MT",,,,,
X141/143/145/147_1_3,0.0001384,,1.384E-04,,CCF of two components: X141 & X143,,Y,,,,,,,,,,,,,,,,,,,"X141,X143",,,,,
X141/143/145/147_1_4,0.0001384,,1.384E-04,,CCF of two components: X141 & X143-MT,,Y,,,,,,,,,,,,,,,,,,,"X141,X143-MT",,,,,
X141/143/145/147_1_5,0.0001384,,1.384E-04,,CCF of two components: X141 & X145,,Y,,,,,,,,,,,,,,,,,,,"X141,X145",,,,,
X141/143/145/147_1_6,0.0001384,,1.384E-04,,CCF of two components: X141 & X145-MT,,Y,,,,,,,,,,,,,,,,,,,"X141,X145-MT",,,,,
X141/143/145/147_1_7,0.0001384,,1.384E-04,,CCF of two components: X141 & X147,,Y,,,,,,,,,,,,,,,,,,,"X141,X147",,,,,
X141/143/145/147_1_8,0.0001384,,1.384E-04,,CCF of two components: X141 & X147-MT,,Y,,,,,,,,,,,,,,,,,,,"X141,X147-MT",,,,,
X141/143/145/147_2_3,0.0001384,,1.384E-04,,CCF of two components: X141-MT & X143,,Y,,,,,,,,,,,,,,,,,,,"X141-MT,X143",,,,,
X141/143/145/147_2_4,0.0001384,,1.384E-04,,CCF of two components: X141-MT & X143-MT,,Y,,,,,,,,,,,,,,,,,,,"X141-MT,X143-MT",,,,,
X141/143/145/147_2_5,0.0001384,,1.384E-04,,CCF of two components: X141-MT & X145,,Y,,,,,,,,,,,,,,,,,,,"X141-MT,X145",,,,,
X141/143/145/147_2_6,0.0001384,,1.384E-04,,CCF of two components: X141-MT & X145-MT,,Y,,,,,,,,,,,,,,,,,,,"X141-MT,X145-MT",,,,,
X141/143/145/147_2_7,0.0001384,,1.384E-04,,CCF of two components: X141-MT & X147,,Y,,,,,,,,,,,,,,,,,,,"X141-MT,X147",,,,,
X141/143/145/147_2_8,0.0001384,,1.384E-04,,CCF of two components: X141-MT & X147-MT,,Y,,,,,,,,,,,,,,,,,,,"X141-MT,X147-MT",,,,,
X141/143/145/147_3_4,0.0001384,,1.384E-04,,CCF of two components: X143 & X143-MT,,Y,,,,,,,,,,,,,,,,,,,"X143,X143-MT",,,,,
X141/143/145/147_3_5,0.0001384,,1.384E-04,,CCF of two components: X143 & X145,,Y,,,,,,,,,,,,,,,,,,,"X143,X145",,,,,
X141/143/145/147_3_6,0.0001384,,1.384E-04,,CCF of two components: X143 & X145-MT,,Y,,,,,,,,,,,,,,,,,,,"X143,X145-MT",,,,,
X141/143/145/147_3_7,0.0001384,,1.384E-04,,CCF of two components: X143 & X147,,Y,,,,,,,,,,,,,,,,,,,"X143,X147",,,,,
X141/143/145/147_3_8,0.0001384,,1.384E-04,,CCF of two components: X143 & X147-MT,,Y,,,,,,,,,,,,,,,,,,,"X143,X147-MT",,,,,
X141/143/145/147_4_5,0.0001384,,1.384E-04,,CCF of two components: X143-MT & X145,,Y,,,,,,,,,,,,,,,,,,,"X143-MT,X145",,,,,
X141/143/145/147_4_6,0.0001384,,1.384E-04,,CCF of two components: X143-MT & X145-MT,,Y,,,,,,,,,,,,,,,,,,,"X143-MT,X145-MT",,,,,
X141/143/145/147_4_7,0.0001384,,1.384E-04,,CCF of two components: X143-MT & X147,,Y,,,,,,,,,,,,,,,,,,,"X143-MT,X147",,,,,
X141/143/145/147_4_8,0.0001384,,1.384E-04,,CCF of two components: X143-MT & X147-MT,,Y,,,,,,,,,,,,,,,,,,,"X143-MT,X147-MT",,,,,
X141/143/145/147_5_6,0.0001384,,1.384E-04,,CCF of two components: X145 & X145-MT,,Y,,,,,,,,,,,,,,,,,,,"X145,X145-MT",,,,,
X141/143/145/147_5_7,0.0001384,,1.384E-04,,CCF of two components: X145 & X147,,Y,,,,,,,,,,,,,,,,,,,"X145,X147",,,,,
X141/143/145/147_5_8,0.0001384,,1.384E-04,,CCF of two components: X145 & X147-MT,,Y,,,,,,,,,,,,,,,,,,,"X145,X147-MT",,,,,
X141/143/145/147_6_7,0.0001384,,1.384E-04,,CCF of two components: X145-MT & X147,,Y,,,,,,,,,,,,,,,,,,,"X145-MT,X147",,,,,
X141/143/145/147_6_8,0.0001384,,1.384E-04,,CCF of two components: X145-MT & X147-MT,,Y,,,,,,,,,,,,,,,,,,,"X145-MT,X147-MT",,,,,
X141/143/145/147_7_8,0.0001384,,1.384E-04,,CCF of two components: X147 & X147-MT,,Y,,,,,,,,,,,,,,,,,,,"X147,X147-MT",,,,,
X141-MT,7.199741E-05,3,72H,,Panel breaker fails open,,U,,,X141/143/145/147,,,,,,B15-BRKR-GENERAL-SOP,,,,,,,,,,,,,,,
X142,0.008721743,3,IE-YEAR,,Feeder breaker fails open,,U,,,X142/144/146/148,,,,,,B15-BRKR-GENERAL-SOP,,,,,,,,,,,,,,,
X142/144/146/148_1_2,0.0001384,,1.384E-04,,CCF of two components: X142 & X142-MT,,Y,,,,,,,,,,,,,,,,,,,"X142,X142-MT",,,,,
X142/144/146/148_1_3,0.0001384,,1.384E-04,,CCF of two components: X142 & X144,,Y,,,,,,,,,,,,,,,,,,,"X142,X144",,,,,
X142/144/146/148_1_4,0.0001384,,1.384E-04,,CCF of two components: X142 & X144-MT,,Y,,,,,,,,,,,,,,,,,,,"X142,X144-MT",,,,,
X142/144/146/148_1_5,0.0001384,,1.384E-04,,CCF of two components: X142 & X146,,Y,,,,,,,,,,,,,,,,,,,"X142,X146",,,,,
X142/144/146/148_1_6,0.0001384,,1.384E-04,,CCF of two components: X142 & X146-MT,,Y,,,,,,,,,,,,,,,,,,,"X142,X146-MT",,,,,
X142/144/146/148_1_7,0.0001384,,1.384E-04,,CCF of two components: X142 & X148,,Y,,,,,,,,,,,,,,,,,,,"X142,X148",,,,,
X142/144/146/148_1_8,0.0001384,,1.384E-04,,CCF of two components: X142 & X148-MT,,Y,,,,,,,,,,,,,,,,,,,"X142,X148-MT",,,,,
X142/144/146/148_2_3,0.0001384,,1.384E-04,,CCF of two components: X142-MT & X144,,Y,,,,,,,,,,,,,,,,,,,"X142-MT,X144",,,,,
X142/144/146/148_2_4,0.0001384,,1.384E-04,,CCF of two components: X142-MT & X144-MT,,Y,,,,,,,,,,,,,,,,,,,"X142-MT,X144-MT",,,,,
X142/144/146/148_2_5,0.0001384,,1.384E-04,,CCF of two components: X142-MT & X146,,Y,,,,,,,,,,,,,,,,,,,"X142-MT,X146",,,,,
X142/144/146/148_2_6,0.0001384,,1.384E-04,,CCF of two components: X142-MT & X146-MT,,Y,,,,,,,,,,,,,,,,,,,"X142-MT,X146-MT",,,,,
X142/144/146/148_2_7,0.0001384,,1.384E-04,,CCF of two components: X142-MT & X148,,Y,,,,,,,,,,,,,,,,,,,"X142-MT,X148",,,,,
X142/144/146/148_2_8,0.0001384,,1.384E-04,,CCF of two components: X142-MT & X148-MT,,Y,,,,,,,,,,,,,,,,,,,"X142-MT,X148-MT",,,,,
X142/144/146/148_3_4,0.0001384,,1.384E-04,,CCF of two components: X144 & X144-MT,,Y,,,,,,,,,,,,,,,,,,,"X144,X144-MT",,,,,
X142/144/146/148_3_5,0.0001384,,1.384E-04,,CCF of two components: X144 & X146,,Y,,,,,,,,,,,,,,,,,,,"X144,X146",,,,,
X142/144/146/148_3_6,0.0001384,,1.384E-04,,CCF of two components: X144 & X146-MT,,Y,,,,,,,,,,,,,,,,,,,"X144,X146-MT",,,,,
X142/144/146/148_3_7,0.0001384,,1.384E-04,,CCF of two components: X144 & X148,,Y,,,,,,,,,,,,,,,,,,,"X144,X148",,,,,
X142/144/146/148_3_8,0.0001384,,1.384E-04,,CCF of two components: X144 & X148-MT,,Y,,,,,,,,,,,,,,,,,,,"X144,X148-MT",,,,,
X142/144/146/148_4_5,0.0001384,,1.384E-04,,CCF of two components: X144-MT & X146,,Y,,,,,,,,,,,,,,,,,,,"X144-MT,X146",,,,,
X142/144/146/148_4_6,0.0001384,,1.384E-04,,CCF of two components: X144-MT & X146-MT,,Y,,,,,,,,,,,,,,,,,,,"X144-MT,X146-MT",,,,,
X142/144/146/148_4_7,0.0001384,,1.384E-04,,CCF of two components: X144-MT & X148,,Y,,,,,,,,,,,,,,,,,,,"X144-MT,X148",,,,,
X142/144/146/148_4_8,0.0001384,,1.384E-04,,CCF of two components: X144-MT & X148-MT,,Y,,,,,,,,,,,,,,,,,,,"X144-MT,X148-MT",,,,,
X142/144/146/148_5_6,0.0001384,,1.384E-04,,CCF of two components: X146 & X146-MT,,Y,,,,,,,,,,,,,,,,,,,"X146,X146-MT",,,,,
X142/144/146/148_5_7,0.0001384,,1.384E-04,,CCF of two components: X146 & X148,,Y,,,,,,,,,,,,,,,,,,,"X146,X148",,,,,
X142/144/146/148_5_8,0.0001384,,1.384E-04,,CCF of two components: X146 & X148-MT,,Y,,,,,,,,,,,,,,,,,,,"X146,X148-MT",,,,,
X142/144/146/148_6_7,0.0001384,,1.384E-04,,CCF of two components: X146-MT & X148,,Y,,,,,,,,,,,,,,,,,,,"X146-MT,X148",,,,,
X142/144/146/148_6_8,0.0001384,,1.384E-04,,CCF of two components: X146-MT & X148-MT,,Y,,,,,,,,,,,,,,,,,,,"X146-MT,X148-MT",,,,,
X142/144/146/148_7_8,0.0001384,,1.384E-04,,CCF of two components: X148 & X148-MT,,Y,,,,,,,,,,,,,,,,,,,"X148,X148-MT",,,,,
X142-MT,7.199741E-05,3,72H,,Feeder breaker fails open,,U,,,X142/144/146/148,,,,,,B15-BRKR-GENERAL-SOP,,,,,,,,,,,,,,,
X143,0.008721743,3,IE-YEAR,,Panel breaker fails open,,U,,,X141/143/145/147,,,,,,B15-BRKR-GENERAL-SOP,,,,,,,,,,,,,,,
X143-MT,7.199741E-05,3,72H,,Panel breaker fails open,,U,,,X141/143/145/147,,,,,,B15-BRKR-GENERAL-SOP,,,,,,,,,,,,,,,
X144,0.008721743,3,IE-YEAR,,Feeder breaker fails open,,U,,,X142/144/146/148,,,,,,B15-BRKR-GENERAL-SOP,,,,,,,,,,,,,,,
X144-MT,7.199741E-05,3,72H,,Feeder breaker fails open,,U,,,X142/144/146/148,,,,,,B15-BRKR-GENERAL-SOP,,,,,,,,,,,,,,,
X145,0.008721743,3,IE-YEAR,,Panel breaker fails open,,U,,,X141/143/145/147,,,,,,B15-BRKR-GENERAL-SOP,,,,,,,,,,,,,,,
X145-MT,7.199741E-05,3,72H,,Panel breaker fails open,,U,,,X141/143/145/147,,,,,,B15-BRKR-GENERAL-SOP,,,,,,,,,,,,,,,
X146,0.008721743,3,IE-YEAR,,Feeder breaker fails open,,U,,,X142/144/146/148,,,,,,B15-BRKR-GENERAL-SOP,,,,,,,,,,,,,,,
X146-MT,7.199741E-05,3,72H,,Feeder breaker fails open,,U,,,X142/144/146/148,,,,,,B15-BRKR-GENERAL-SOP,,,,,,,,,,,,,,,
X147,0.008721743,3,IE-YEAR,,Panel breaker fails open,,U,,,X141/143/145/147,,,,,,B15-BRKR-GENERAL-SOP,,,,,,,,,,,,,,,
X147-MT,7.199741E-05,3,72H,,Panel breaker fails open,,U,,,X141/143/145/147,,,,,,B15-BRKR-GENERAL-SOP,,,,,,,,,,,,,,,
X148,0.008721743,3,IE-YEAR,,Feeder breaker fails open,,U,,,X142/144/146/148,,,,,,B15-BRKR-GENERAL-SOP,,,,,,,,,,,,,,,
X148-MT,7.199741E-05,3,72H,,Feeder breaker fails open,,U,,,X142/144/146/148,,,,,,B15-BRKR-GENERAL-SOP,,,,,,,,,,,,,,,
X149-1,0.008721743,3,IE-YEAR,,Inverter failure,,U,,,,,,,,,B17-ELECTRIC-FEEDER-FTO,,,,,,,,,,,,,,,
X149-1-MT,7.199741E-05,3,72H,,Inverter failure,,U,,,,,,,,,B17-ELECTRIC-FEEDER-FTO,,,,,,,,,,,,,,,
X149-2,0.008721743,3,IE-YEAR,,Inverter failure,,U,,,,,,,,,B17-ELECTRIC-FEEDER-FTO,,,,,,,,,,,,,,,
X149-2-MT,0.008721743,3,IE-YEAR,,Inverter failure,,U,,,,,,,,,B17-ELECTRIC-FEEDER-FTO,,,,,,,,,,,,,,,
X149-3,0.008721743,3,IE-YEAR,,Inverter failure,,U,,,,,,,,,B17-ELECTRIC-FEEDER-FTO,,,,,,,,,,,,,,,
X149-3-MT,0.008721743,3,IE-YEAR,,Inverter failure,,U,,,,,,,,,B17-ELECTRIC-FEEDER-FTO,,,,,,,,,,,,,,,
X149-4,0.008721743,3,IE-YEAR,,Inverter failure,,U,,,,,,,,,B17-ELECTRIC-FEEDER-FTO,,,,,,,,,,,,,,,
X149-4-MT,7.199741E-05,3,72H,,Inverter failure,,U,,,,,,,,,B17-ELECTRIC-FEEDER-FTO,,,,,,,,,,,,,,,
X14A-1,0.009950167,3,DEMAND,,Pump fails to start,,B,,,PUMP-FTS,,,,,,B3-PUMP-FW-FTO/D,,,,,,,,,,,,,,,
X14A-2,0.009950167,3,DEMAND,,pumps - feedwater - fail to operate/demand,,B,,,PUMP-FTS,,,,,,B3-PUMP-FW-FTO/D,,,,,,,,,,,,,,,
X14A-MT1,0.009950167,3,DEMAND,,Pump fails to start,,B,,,PUMP-FTS,,,,,,B3-PUMP-FW-FTO/D,,,,,,,,,,,,,,,
X14A-MT2,0.009950167,3,DEMAND,,pumps - feedwater - fail to operate/demand,,B,,,PUMP-FTS,,,,,,B3-PUMP-FW-FTO/D,,,,,,,,,,,,,,,
X14B-1,0.04228017,3,STANDBY-IE,,Pump fails to run,,U,,,,,,,,,B3-PUMP-FW-FTO/H,,,,,,,,,,,,,,,
X14B-2,0.04228017,3,STANDBY-IE,,pumps - feedwater - fail to operate/frequency,,U,,,,,,,,,B3-PUMP-FW-FTO/H,,,,,,,,,,,,,,,
X14B-MT1,0.002157669,3,72H,,Pump fails to run,,U,,,,,,,,,B3-PUMP-FW-FTO/H,,,,,,,,,,,,,,,
X14B-MT2,0.002157669,3,72H,,pumps - feedwater - fail to operate/frequency,,U,,,,,,,,,B3-PUMP-FW-FTO/H,,,,,,,,,,,,,,,
X150-1,0.008721743,3,IE-YEAR,,Switch contact fails open,,U,,,,,,,,,B15-BRKR-GENERAL-SOP,,,,,,,,,,,,,,,
X150-1-MT,7.199741E-05,3,72H,,Switch contact fails open,,U,,,,,,,,,B15-BRKR-GENERAL-SOP,,,,,,,,,,,,,,,
X15-1,0.2311043,3,IE-YEAR,,Operating pump fails,,B,,,CNDNSR-PUMP-FTS,,,,,,B3-PUMP-MD-FTO/H,,,,,,,,,,,,,,,
X15-2,0.2311043,3,IE-YEAR,,pumps - motor driven - fail to operate/frequency,,B,,,CNDNSR-PUMP-FTS,,,,,,B3-PUMP-MD-FTO/H,,,,,,,,,,,,,,,
X152-1,0.008721743,3,IE-YEAR,,Normal power supply breaker fails open,,U,,,,,,,,,B15-BRKR-GENERAL-SOP,,,,,,,,,,,,,,,
X152-1-MT,7.199741E-05,3,72H,,Normal power supply breaker fails open,,U,,,,,,,,,B15-BRKR-GENERAL-SOP,,,,,,,,,,,,,,,
X154-1,0.008721743,3,IE-YEAR,,125V DC backup supply breaker fails open,,U,,,,,,,,,B15-BRKR-GENERAL-SOP,,,,,,,,,,,,,,,
X154-1-MT,7.199741E-05,3,72H,,125V DC backup supply breaker fails open,,U,,,,,,,,,B15-BRKR-GENERAL-SOP,,,,,,,,,,,,,,,
X156-1,0.02593769,3,IE-YEAR,,480-120V AC regulated transformer fails,,U,,,,,,,,,B12-TRNSFRMR-HIGHV-TRIP,,,,,,,,,,,,,,,
X156-1-MT,0.0002159767,3,72H,,480-120V AC regulated transformer fails,,U,,,,,,,,,B12-TRNSFRMR-HIGHV-TRIP,,,,,,,,,,,,,,,
X157-1,0.008721743,3,IE-YEAR,,480-120 regulated transformer supply breaker fails open,,U,,,,,,,,,B15-BRKR-GENERAL-SOP,,,,,,,,,,,,,,,
X157-1-MT,7.199741E-05,3,72H,,480-120 regulated transformer supply breaker fails open,,U,,,,,,,,,B15-BRKR-GENERAL-SOP,,,,,,,,,,,,,,,
X158-1,0.008721743,3,IE-YEAR,,480V AC MCC bus feeder breaker fails open,,U,,,,,,,,,B15-BRKR-GENERAL-SOP,,,,,,,,,,,,,,,
X158-1-MT,7.199741E-05,3,72H,,480V AC MCC bus feeder breaker fails open,,U,,,,,,,,,B15-BRKR-GENERAL-SOP,,,,,,,,,,,,,,,
X15-MT1,0.002157669,3,72H,,Operating pump fails,,B,,,CNDNSR-PUMP-FTS,,,,,,B3-PUMP-MD-FTO/H,,,,,,,,,,,,,,,
X15-MT2,0.002157669,3,72H,,pumps - motor driven - fail to operate/frequency,,B,,,CNDNSR-PUMP-FTS,,,,,,B3-PUMP-MD-FTO/H,,,,,,,,,,,,,,,
X164-1,0.2311043,3,IE-YEAR,,480V AC supply fails open,,U,,,,,,,,,B3-PUMP-MD-LOPS,,,,,,,,,,,,,,,
X164-1-MT,0.002157669,3,72H,,480V AC supply fails open,,U,,,,,,,,,B3-PUMP-MD-LOPS,,,,,,,,,,,,,,,
X165-1,0.008721743,3,IE-YEAR,,4.16kV to 480V AC transformer failure,,U,,,,,,,,,B12-TRNSFRMR-LOWV-TRIP,,,,,,,,,,,,,,,
X165-1-MT,7.199741E-05,3,72H,,4.16kV to 480V AC transformer failure,,U,,,,,,,,,B12-TRNSFRMR-LOWV-TRIP,,,,,,,,,,,,,,,
X166-1,0.008721743,3,IE-YEAR,,480V AC feeder AC breaker fails open,,U,,,,,,,,,B15-BRKR-GENERAL-SOP,,,,,,,,,,,,,,,
X166-1-MT,7.199741E-05,3,72H,,480V AC feeder AC breaker fails open,,U,,,,,,,,,B15-BRKR-GENERAL-SOP,,,,,,,,,,,,,,,
X166A-1,0.2311043,3,IE-YEAR,,Circulator mechanical failures,,U,,,,,,,,,B1-MB-MACHINE-FTO,,,,,,,,,,,,,,,
X166A-2,0.2311043,3,IE-YEAR,,"Electric motor driven, magnetic bearings - machine - fail to operate",,U,,,,,,,,,B1-MB-MACHINE-FTO,,,,,,,,,,,,,,,
X166A-3,0.2311043,3,IE-YEAR,,"Electric motor driven, magnetic bearings - machine - fail to operate",,U,,,,,,,,,B1-MB-MACHINE-FTO,,,,,,,,,,,,,,,
X166A-4,0.2311043,3,IE-YEAR,,"Electric motor driven, magnetic bearings - machine - fail to operate",,U,,,,,,,,,B1-MB-MACHINE-FTO,,,,,,,,,,,,,,,
X166A-MT1,0.002157669,3,72H,,Circulator mechanical failures,,U,,,,,,,,,B1-MB-MACHINE-FTO,,,,,,,,,,,,,,,
X166A-MT2,0.002157669,3,72H,,"Electric motor driven, magnetic bearings - machine - fail to operate",,U,,,,,,,,,B1-MB-MACHINE-FTO,,,,,,,,,,,,,,,
X166A-MT3,0.002157669,3,72H,,"Electric motor driven, magnetic bearings - machine - fail to operate",,U,,,,,,,,,B1-MB-MACHINE-FTO,,,,,,,,,,,,,,,
X166A-MT4,0.002157669,3,72H,,"Electric motor driven, magnetic bearings - machine - fail to operate",,U,,,,,,,,,B1-MB-MACHINE-FTO,,,,,,,,,,,,,,,
